name_part1,name_part2,name_fluid1,material_group,name_mold_mat,name_disp_1,wf_disp_1,name_bind1,wf_bind_1,temp_cold,cooling_rate,time_sub,time_sinter_1,temp_sinter_1,vf_total,porosity
Y2SiO5,,water,Ceramic,,,0.01,,,,0.0,48.0,2.0,1773.0,0.4,0.71
PZT,,TBA,Ceramic,,,,,,,0.0,0.0,2.0,1573.0,0.15,0.499
TiH2,,camphene,Metal,aluminum,Hypermer KD 4,0.01,,,315.0,0.0,,2.0,873.0,0.1,0.64
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,,0.0,24.0,,1673.0,0.28,0.613
Al2O3,,TBA,Ceramic,PMMA,citric acid,0.05,,,,0.0,72.0,4.0,1773.0,0.25,0.2
HAP,,water,Ceramic,PTFE,Darvan 811,0.01,PVA,0.01,,0.5,,4.0,1723.0,0.25,0.56
Si3N4,,benzoic acid,Ceramic,,,,,,,0.0,5.0,4.0,2023.0,0.16,0.64
Zeo,,water,Ceramic,aluminum,PEG,0.1,Bentonite,0.1,123.0,0.0,48.0,1.0,2373.0,0.1892,0.713
HAP,,TBA,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.075,0.85
Y2SiO5,,water,Ceramic,graphite,ammonium polymethacrylate anionic dispersant,0.003,,,,0.0,48.0,2.0,1623.0,0.2,0.71
CuO,,water,Metal,polyethylene,,,PVA,,253.0,0.0,,2.0,1573.0,0.4,0.308
Al2O3,ZrO2,TBA,Ceramic,epoxy,citric acid,0.01,PVB,,77.0,0.0,,,1673.0,0.15,0.51
HAP,,TBA,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.1,0.74
Mullite,,TBA,Ceramic,PTFE,BYK-163,0.05,PVB,0.005,173.0,0.0,12.0,2.0,1823.0,0.2,0.76
HAP,,water,Ceramic,silicone,Lopon 885,0.015,gelatin,0.02,255.0,0.0,,3.0,873.0,0.23,0.4223
HAP,MgO,TBA,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.15,0.6
PZT,,TBA,Ceramic,polyamide,acacia,0.012,PVB,0.015,195.0,0.0,0.0,2.0,1723.0,0.35,0.4
PVA,,water,Polymer,polyproplyene,,,,,77.0,0.0,,,,0.0854,0.81
SiO2,,water,Ceramic,silicone,,,PVA,0.02,255.0,0.0,24.0,2.0,873.0,0.3297,0.5
HAP,,camphene,Ceramic,polyethylene,Hypermer KD 4,0.06,PS,0.1,,0.0,,,1523.0,0.1,0.75
Mullite,,camphene,Ceramic,polyethylene,Darvan C,0.01,PVB,0.01,77.0,0.0,,,873.0,0.153,0.703
theophylline,starch,water,Pharmaceutical,"plastic, noi",,,saccharose,0.1,235.5,0.0,24.0,,,0.34,0.48
Y2SiO5,,water,Ceramic,,,0.01,,,,0.0,48.0,2.0,1773.0,0.4,0.76
gelatin,,acetic acid,Polymer,"plastic, noi",,,,,77.0,0.0,48.0,,,0.0234,0.965
HAP,SiO2,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,1.0,,24.0,873.0,0.15,0.4095
YSZ,,TBA,Ceramic,,fish oil,,PVB,,,0.0,,,,0.5,0.5
HAP,SiO2,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,4.0,,24.0,873.0,0.15,0.8496
PCS,,water,Polymer,glass,,,,,77.0,0.0,24.0,,,0.51,0.899
SiO2,,water,Ceramic,silicone,,,,,238.0,2.0,0.0,2.0,673.0,0.1628,0.79
SiO2,kaolinite,water,Ceramic,,,,,,233.0,0.0,12.0,,,0.43,0.43
Bioglass,,camphene,Ceramic,,isostearic acid,,,,,0.0,24.0,1.0,1673.0,0.1,0.52
HAP,,water,Ceramic,Teflon,Darvan 811,0.01,Aquazol,0.02,,5.0,48.0,4.0,1573.0,0.2,0.721
TCP,,water,Ceramic,PTFE,Dolapix PC21,0.01,PVA,0.01,,0.0,60.0,,723.0,0.2,0.68
Si3N4,BAS,water,Ceramic,polyethylene,,,,,,0.0,,3.0,823.0,0.4,0.407
HAP,,water,Ceramic,polyethylene,SND 6800,0.02,,,,0.0,,2.0,1623.0,0.25,0.85
Mullite,,camphene,Ceramic,polyethylene,Darvan C,0.01,PVB,0.01,77.0,0.0,,,873.0,0.15,0.798
chitosan,TCP,water,Ceramic/Polymer,"plastic, noi",acetic acid,,,,253.0,0.0,6.0,,,0.1468,0.76
Al2O3,chitosan,acetic acid,Ceramic,PTFE,,,,,,10.0,,,,0.27,0.91
YSZ,,TBA,Ceramic,,,,PVB,0.005,,,,1.0,1673.0,0.15,0.63
CaP,,water,Ceramic,polyethylene,,,PVA,0.16,208.0,0.0,0.0,2.0,873.0,0.15,0.83
HAP,TCP,water,Ceramic,cpc,,,sodium alginate,0.02,243.0,0.0,168.0,,,0.1091,0.3
Al2O3,YSZ,water,Ceramic,Teflon,,,sodium polymethacrylate,0.005,253.0,0.0,48.0,30.0,773.0,0.3,0.54
TiO2,,water,Ceramic,silicone,NH4PAA,0.087,Duramax B-1000,0.03,,,24.0,2.0,1573.0,0.3527,0.36
HAP,,water,Ceramic,PVC,Dynol 604,0.0075,PVA,0.015,253.0,0.0,,3.0,1623.0,0.2,0.55
HAP,,water,Ceramic/Polymer,,Darvan C,0.01,PVA,0.01,263.0,0.0,,2.0,1773.0,0.35,0.31
HAP,MgO,TBA,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.05,0.84
HAP,,water,Ceramic,,,,,,,0.0,,,,0.15,0.763
SiO2,kaolinite,water,Ceramic,silicone,,,,,238.0,2.0,0.0,2.0,673.0,0.1628,0.74
HAP,,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,14.0,,2.0,1563.0,0.15,0.78
BaTiO3,Al2O3,water,Ceramic,silicone,NH4PAA,0.0065,Duramax B-1000,0.03,,0.0,,2.0,1673.0,0.2,0.246
YSZ,,water,Ceramic,,,,,,,0.0,,,,0.0189,0.78
HAP,TCP,water,Ceramic,cpc,,,sodium alginate,0.02,243.0,0.0,168.0,,,0.1091,0.54
Bioglass,,camphene,Ceramic,,isostearic acid,,,,,0.0,24.0,1.0,1673.0,0.1,0.86
stainless steel,,water,Ceramic,,CMC,,Fluka,,233.0,0.0,0.0,2.0,1773.0,0.36,0.38
HAP,,water,Ceramic,PTFE,Darvan 811,0.01,PVA,0.01,,7.0,,4.0,1573.0,0.25,0.56
YSZ,,TBA,Ceramic,,,,PVB,0.005,195.0,0.0,0.0,,873.0,0.15,0.745
Si3N4,Y2O3,water,Ceramic,fluorocarbon,NOI,,,,248.0,0.0,24.0,,2123.0,0.2,0.628
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,223.0,0.0,24.0,,1823.0,0.4,0.36
Al2O3,,TBA,Ceramic,PMMA,citric acid,0.05,,,,0.0,72.0,2.0,1873.0,0.25,0.28
Ag,,water,Metal,"plastic, noi",,,PVA,0.02,77.0,0.0,48.0,,,0.001,0.959
Al2O3,SiC,water,Ceramic,epoxy,,,,,77.0,0.0,0.0,1.0,773.0,0.55,0.07
Al2O3,YSZ,water,Ceramic,Teflon,,,sodium polymethacrylate,0.005,253.0,0.0,48.0,30.0,773.0,0.3,0.6
Mullite,,TBA,Ceramic,polyethylene,citric acid,0.01,,,,0.0,0.0,2.0,1773.0,0.1583,0.62
PVA,,water,Polymer,polyproplyene,,,,,77.0,0.0,,,,0.0657,0.8
Al2O3,,water,Ceramic,silicone,Kalium polyacrylate Lopon 895,0.02,PVA,,,0.0,,0.5,873.0,0.2,0.7102
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.35,0.64
YSZ,,water,Ceramic,silicone,,,,,255.0,0.0,24.0,2.0,873.0,0.3297,0.43
LSM,YSZ,water,Ceramic,acrylic,Darvan CN,0.02,PEG,0.01,,5.0,12.0,1.0,873.0,0.17,0.66
Al2O3,,water,Ceramic,"plastic, noi",Duramax D3005,0.008,PVA,0.02,,1.0,24.0,2.0,1823.0,0.35,0.486
HAP,,water,Ceramic,PVC,Dynol 604,0.0075,PVA,0.015,253.0,0.0,,3.0,1623.0,0.1,0.7
PVA,,water,Polymer,polyproplyene,,,,,77.0,0.0,,,,0.0211,0.88
Y2O3,SiO2,TBA,Ceramic,polyethylene,citric acid,0.01,,,,0.0,12.0,1.0,1023.0,0.0788,0.6
kaolinite,Al2O3,water,Ceramic,"plastic, noi",,,,,233.0,0.0,24.0,2.0,1773.0,0.07,0.852
HAP,Al2O3,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,4.0,,24.0,873.0,0.15,0.8037
SiO2,kaolinite,water,Ceramic,rubber,,,,,238.0,0.0,,,1523.0,0.24,0.75
AlN,AlN,water,Ceramic,,Dolapix PC 33,0.03,,,233.0,0.0,,2.0,873.0,0.49,0.08
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.79
HAP,(Ca10(PO4)6(OH)2),TBA,Ceramic,polyurethane,citric acid,0.01,,,,0.0,0.0,1.0,963.0,0.1,0.79
SiO2,kaolinite,water,Ceramic,silicone,,,,,238.0,2.0,0.0,,,0.1628,0.82
Al2O3,,water,Ceramic,,,,,,,10.0,48.0,,,0.27,0.918
LSM,YSZ,water,Ceramic,,Darvan CN,0.02,PEG,0.01,,5.0,12.0,1.0,873.0,0.17,0.65
LSM,YSZ,water,Ceramic,acrylic,Darvan CN,0.02,PEG,0.01,,5.0,12.0,1.0,873.0,0.23,0.596
Al2O3,,naphthalene,Ceramic,polyurethane,Perfad9100,0.03,,,291.0,0.0,60.0,4.0,1873.0,0.2,0.55
HAP,,camphene,Ceramic,polyethylene,Hypermer KD 4,0.06,PS,0.1,,0.0,,,1523.0,0.15,0.66
BaTiO3,Al2O3,water,Ceramic,silicone,NH4PAA,0.0065,Duramax B-1000,0.03,,0.0,,2.0,1673.0,0.2,0.403
Zeo,,water,Ceramic,aluminum,PEG,0.1,Bentonite,0.1,123.0,0.0,48.0,1.5,1823.0,0.1892,0.7146
Al2O3,TiO2,water,Ceramic,Teflon,ammonium polymethacrylate anionic dispersant,0.02,PVA,0.02,,0.0,24.0,0.5,773.0,0.05,0.68
Mullite,,TBA,Ceramic,PTFE,BYK-163,0.05,PVB,0.005,173.0,0.0,12.0,2.0,1823.0,0.35,0.595
Mullite,,TBA,Ceramic,PTFE,BYK-163,0.05,PVB,0.005,253.0,0.0,12.0,2.0,1823.0,0.35,0.58
WO3,,water,Metal,Teflon,,,,,258.0,0.0,,,1023.0,0.2,0.66
PVA,collagen,water,Ceramic/Polymer,,,,,,233.0,0.0,5.0,,,0.07,0.87
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.82
Al2O3,ZrO2,TBA,Ceramic,epoxy,citric acid,0.01,PVB,,77.0,0.0,,,1673.0,0.15,0.51
YSZ,,TBA,Ceramic,,fish oil,,PVB,,,0.0,,,,0.5,0.78
SiO2,,water,Ceramic,"plastic, noi",,,,,193.0,0.0,12.0,2.0,1523.0,0.01,0.98
HAP,BT,water,Ceramic,PDMS,HydroDisper A160,0.01,PVA,0.01,173.0,5.0,24.0,3.0,873.0,0.2,0.606
PZT,,TBA,Ceramic,,,,,,,0.0,0.0,2.0,1573.0,0.1,0.586
HAP,PMMA,water,Ceramic,silicone,,,PVA,0.02,255.0,0.0,8.0,2.0,873.0,0.2406,0.6519
HAP,,water,Ceramic,PVC,,,,,253.0,0.0,,3.0,1673.0,0.2,0.52
PZT,,TBA,Ceramic,,,,,,,0.0,0.0,2.0,1573.0,0.15,0.576
Yb2SiO5,,TBA,Ceramic,,ammonium polymethacrylate anionic dispersant,0.03,PVA,0.01,,0.0,0.0,2.0,873.0,0.15,0.8395
HAP,Al2O3,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,4.0,,24.0,873.0,0.15,0.7906
Bioglass,,camphene,Ceramic,polytetrafluoroethylene,isostearic acid,0.02,,,,0.0,,1.0,1723.0,0.1,0.5
Al2O3,CuO,water,Ceramic,polyethylene,sodium polymethacrylate,0.01,,,253.0,0.0,48.0,1.0,873.0,0.3,0.53
Al2O3,,water,Ceramic,PDMS,HydroDisper A160,,PVA,0.06,,0.0,36.0,3.0,1123.0,0.3,0.43
PZT,,camphene,Ceramic,,Hypermer KD 4,0.03,,,293.0,0.0,48.0,2.0,1573.0,0.15,0.71
HAP,,water,Ceramic,silicone,,,PVA,0.06,255.0,0.0,24.0,2.0,873.0,0.2406,0.623
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.35,0.6
HAP,,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,14.0,,2.0,1563.0,0.15,0.6
CaSiO3,PCS,water,Ceramic,polytetrafluoroethylene,HydroDisperser,0.02,,,243.0,0.0,,3.0,1623.0,0.2,0.73
YSZ,,TBA,Ceramic,,fish oil,,PVB,,,0.0,,0.5,773.0,0.4,0.1
YSZ,,camphene,Ceramic,,Texaphor 963,0.05,,,,0.0,,1.0,973.0,0.1,0.815
Y2O3,SiO2,TBA,Ceramic,polyethylene,citric acid,0.01,,,,0.0,12.0,1.0,973.0,0.0475,0.57
PZT,,TBA,Ceramic,polyamide,acacia,0.012,PVB,0.015,,0.0,0.0,2.0,1723.0,0.35,0.44
Al2O3,,camphene,Ceramic,silicone,PAAS,,,,248.0,0.0,,2.0,8873.0,0.2,0.7
Al2O3,,water,Ceramic,PDMS,HydroDisper A160,,PVA,0.06,,0.0,36.0,3.0,1123.0,0.2,0.6
YSZ,,camphene,Ceramic,,Texaphor 963,0.05,,,,0.0,24.0,2.0,1823.0,0.15,0.75
Al2O3,,water,Ceramic,polyethylene,Hypermer KD 4,0.02,PVA,,203.0,0.0,,2.0,873.0,0.2,0.91
Al2O3,TiO2,camphene,Ceramic,PTFE,Texaphor 963,0.018,,,,0.0,72.0,2.0,1573.0,0.25,0.74
gelatin,,water,Polymer,polytetrafluoroethylene,,,,,,6.0,72.0,,,0.0075,0.99
Cr2O3,,camphene,Ceramic,polyurethane,Hypermer KD 4,0.01,,,288.0,0.0,24.0,15.0,1373.0,0.1,0.869
PZT,,TBA,Ceramic,polyamide,acacia,0.012,PVB,0.015,,0.0,0.0,2.0,1723.0,0.25,0.57
HAP,SiO2,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,1.0,,24.0,873.0,0.15,0.8443
Ca3ZrSi2O9,,water,Ceramic,polyethylene,Dolapix P62,0.03,PVA,0.05,,1.0,,1.0,873.0,0.125,0.6427
TiO2,,water,Ceramic,silicone,NH4PAA,0.087,Duramax B-1000,0.03,,0.0,24.0,2.0,1573.0,0.2594,0.45
HAP,TCP,water,Ceramic,cpc,,,sodium alginate,0.02,243.0,0.0,168.0,,,0.1091,0.72
Al2O3,TiO2,camphene,Ceramic,PTFE,Texaphor 963,0.018,,,,0.0,72.0,2.0,1573.0,0.25,0.7
HAP,,TBA,Ceramic,polyethylene,citric acid,0.01,,,,0.0,,1.0,873.0,0.1196,0.681
chitosan,,water,Polymer,PTFE,acetic acid,0.01,,,,1.0,48.0,,,0.0125,0.9836
chitosan,TCP,water,Ceramic/Polymer,"plastic, noi",acetic acid,,,,253.0,0.0,6.0,,,0.1468,0.83
Mullite,,TBA,Ceramic,polyethylene,citric acid,0.01,,,,0.0,0.0,2.0,1773.0,0.1079,0.64
Si3N4,Y2O3,water,Ceramic,fluorocarbon,Alon A-6114,,,,193.0,0.0,24.0,,2048.0,0.3,0.499
Al2O3,,water,Ceramic,polyvinyl chloride,A6114,,,,,0.0,,2.0,2073.0,0.1,0.717
Bentonite,,water,Ceramic,PTFE,SHMP,0.07,,,249.0,0.0,24.0,1.0,873.0,0.0235,0.97
PZT,,TBA,Ceramic,,acacia,0.012,PVB,0.015,243.0,0.0,48.0,2.0,1723.0,0.4,0.28
Al2O3,,camphene,Ceramic,silicone,PAAS,,,,248.0,0.0,,2.0,2223.0,0.2,0.79
Al2O3,,water,Ceramic,PDMS,,,,,,0.0,24.0,2.0,1873.0,0.1,0.735
Si3N4,Al2O3,TBA,Ceramic,polyethylene,PVP,0.04,,,,0.0,24.0,3.0,573.0,0.1623,0.48
Al2O3,,camphene,Ceramic,,Hypermer KD 4,0.03,,,268.0,0.0,24.0,5.0,1873.0,0.22,0.609
HAP,,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,1.0,48.0,2.0,1773.0,0.15,0.5331
Al2O3,,camphene,Ceramic,polyurethane,Perfad9100,0.02,,,291.0,0.0,24.0,4.0,1873.0,0.3,0.41
TiO2,,water,Ceramic,PVC,Darvan 811,0.01,PVA,0.01,,10.0,72.0,3.0,1573.0,0.1,0.87
Al2O3,Mullite,water,Ceramic,aluminum,polyacrylic acid,0.056,,,,0.0,48.0,2.0,873.0,0.47,0.73
BaTiO3,,water,Ceramic,silicone,NH4PAA,0.0065,Duramax B-1000,0.03,,0.0,,2.0,1773.0,0.45,0.22
HAP,TCP,camphene,Ceramic,,Dolapix CE 64,0.06,,,,0.0,,3.0,1573.0,0.22,0.25
HAP,,water,Ceramic,polytetrafluoroethylene,HydroDisper A160,0.02,,,243.0,,,1.0,1473.0,0.3,0.56
SiC,,water,Ceramic,,,,PVA,0.085,,0.0,5.0,1.0,873.0,0.12,0.78
Al2O3,,camphene,Ceramic,silicone,PAAS,,,,248.0,0.0,,2.0,2073.0,0.2,0.8
Al2O3,YSZ,water,Ceramic,Teflon,,,sodium polymethacrylate,0.005,253.0,0.0,48.0,30.0,773.0,0.3,0.53
HAP,MgO,TBA,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.05,0.845
Al2O3,,water,Ceramic,,SHMP,0.005,PVA,0.03,218.0,0.0,36.0,2.0,873.0,0.235,0.683
Cordierite,,water,Ceramic,"plastic, noi",,,,,223.0,0.0,24.0,2.0,1473.0,0.1,0.86
HAP,,water,Ceramic,PVC,,,,,253.0,0.0,,3.0,1623.0,0.2,0.48
HAP,BaTiO3,water,Ceramic,PDMS,HydroDisper A160,0.01,PVA,0.01,,5.0,24.0,,873.0,0.4,0.4
YSZ,,camphene,Ceramic,,Texaphor 963,0.05,,,,0.0,24.0,2.0,1823.0,0.1,0.82
SiO2,kaolinite,water,Ceramic,rubber,,,,,238.0,0.0,,72.0,1523.0,0.24,0.55
Al2O3,,water,Ceramic,"plastic, noi",Duramax D3005,0.008,,,,1.0,24.0,2.0,1823.0,0.35,0.354
Al2O3,,TBA,Ceramic,polyethylene,citric acid,,PVB,,,0.0,24.0,1.0,1493.0,0.2,0.65
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,223.0,0.0,24.0,,1673.0,0.333,0.494
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.5,0.25
SiO2,,water,Ceramic,silicone,,,PVA,0.02,253.0,0.0,24.0,2.0,873.0,0.3297,0.5
Al2O3,ZrO2,TBA,Ceramic,epoxy,citric acid,0.01,PVB,,77.0,0.0,,,1673.0,0.25,0.316
Y2O3,SiO2,TBA,Ceramic,polyethylene,citric acid,0.01,,,,0.0,12.0,1.0,973.0,0.0475,0.63
HAP,,water,Ceramic,PTFE,Darvan 811,0.01,PVA,0.01,,10.0,,4.0,1573.0,0.25,0.56
LSM,YSZ,water,Ceramic,,Darvan CN,0.02,PEG,0.01,,21.0,12.0,1.0,873.0,0.17,0.65
LSM,YSZ,water,Ceramic,acrylic,Darvan CN,0.016,PEG,0.01,,5.0,12.0,1.0,873.0,0.23,0.596
Al2O3,TiO2,camphene,Ceramic,PTFE,,,,,77.0,0.0,72.0,2.0,1773.0,0.25,0.27
Si3N4,Y2O3,water,Ceramic,"metal, NOI",NH4PAA,0.02,,,75.0,0.0,,3.0,873.0,0.2252,0.15
YSZ,,water,Ceramic,silicone,,,PVA,0.02,255.0,0.0,24.0,2.0,873.0,0.3297,0.56
SiC,,water,Ceramic,,,,PVA,0.085,,0.0,5.0,1.0,873.0,0.12,0.67
Mullite,,camphene,Ceramic,polyethylene,Darvan C,0.01,PVB,0.01,77.0,0.0,,,873.0,0.21,0.604
YSZ,,water,Ceramic,glass,,,PVA,0.02,255.0,0.0,24.0,2.0,873.0,0.3297,0.5
kaolinite,Al2O3,water,Ceramic,"plastic, noi",,,,,203.0,0.0,24.0,2.0,1773.0,0.05,0.91
SiO2,,TBA,Ceramic,,citric acid,0.02,,,,0.0,12.0,1.0,873.0,0.1,0.663
Al2O3,,camphene,Ceramic,,Hypermer KD 4,0.03,PS,0.1,270.0,0.0,24.0,3.0,1723.0,0.1,0.83
HAP,,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,5.0,,2.0,1563.0,0.15,0.78
Mullite,,TBA,Ceramic,PTFE,BYK-163,0.05,PVB,0.005,213.0,0.0,12.0,2.0,1823.0,0.35,0.6
BaTiO3,,water,Ceramic,silicone,NH4PAA,0.0065,Duramax B-1000,0.03,,0.0,,2.0,1773.0,0.3,0.37
Al2O3,YSZ,water,Ceramic,Teflon,,,sodium polymethacrylate,0.005,253.0,0.0,48.0,30.0,773.0,0.3,0.5
TiO2,,camphene,Ceramic,,Texaphor 963,0.6,,,,0.0,,,,0.03,0.95
YSZ,,water,Ceramic,silicone,,,PVA,0.06,255.0,0.0,24.0,2.0,873.0,0.3297,0.54
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.6,0.02
Zeo,,water,Ceramic,aluminum,PEG,0.1,Bentonite,0.1,123.0,0.0,48.0,1.0,2073.0,0.1567,0.7566
PVA,collagen,water,Ceramic/Polymer,,,,,,233.0,0.0,5.0,,,0.07,0.9
YSZ,,TBA,Ceramic,,,,,,,0.0,,2.0,1873.0,0.15,0.564
CuO,,water,Metal,polyethylene,,,PVA,,253.0,0.0,,2.0,1573.0,0.25,0.443
HAP,PMMA,water,Ceramic,silicone,,,PVA,0.02,255.0,0.0,8.0,2.0,873.0,0.2406,0.7374
HAP,,TBA,Ceramic,,citric acid,0.01,,,,0.0,,1.0,1673.0,0.05,0.9
Si3N4,Y2O3,water,Ceramic,"metal, NOI",NH4PAA,0.02,,,75.0,0.0,,3.0,873.0,0.2252,0.35
Fe2O3,,water,Metal,Teflon,,,PVA,0.04,258.0,,48.0,2.0,573.0,0.105,0.777
HAP,,water,Ceramic,PVC,,,,,253.0,0.0,,3.0,1623.0,0.2,0.518
Si3N4,Al2O3,TBA,Ceramic,polyethylene,PVP,0.04,,,,0.0,24.0,3.0,473.0,0.1623,0.65
Al2O3,,camphene,Ceramic,polyurethane,Perfad9100,0.02,,,291.0,0.0,24.0,4.0,1873.0,0.4,0.22
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.25,0.72
WO3,,water,Metal,Teflon,,,,,248.0,0.0,,,1023.0,0.3,0.435
Mullite,,camphene,Ceramic,polyethylene,,,,,,0.0,24.0,1.0,773.0,0.2293,0.52
HAP,,water,Ceramic,polyethylene,sodium polyacrylate,0.01,PVA,0.005,243.0,0.0,0.0,3.0,1623.0,0.2,0.45
Al2O3,,water,Ceramic,PDMS,HydroDisper A160,,PVA,0.01,,0.0,36.0,3.0,1123.0,0.15,0.8
HAP,SiO2,water,Ceramic,PTFE,Dolapix CE 64,0.04,PVA,0.04,,1.0,,24.0,873.0,0.15,0.82
PZT,,TBA,Ceramic,polyamide,acacia,0.012,PVB,0.015,195.0,0.0,0.0,2.0,1723.0,0.15,0.7
AlN,AlN,water,Ceramic,,Dolapix PC 33,0.03,,,233.0,0.0,,2.0,873.0,0.51,0.03
Al2O3,,Glycerine Ether,Ceramic,,,,polyethylene-imine,0.05,253.0,0.0,,3.0,1773.0,0.4,0.41
Al2O3,,TBA,Ceramic,PMMA,citric acid,0.05,,,,0.0,72.0,2.0,873.0,0.25,0.3
Al2O3,YSZ,water,Ceramic,Teflon,,,sodium polymethacrylate,0.005,253.0,0.0,48.0,30.0,773.0,0.3,0.52
Al2O3,chitosan,acetic acid,Ceramic,PTFE,,,,,,1.0,,,,0.27,0.91
fireclay,,water,Ceramic,polystyrene,Lioperse 511,0.004,gelatin,0.12,,0.0,24.0,1.0,873.0,0.2,0.7311
SiO2,Mullite,water,Ceramic,PTFE,,,,,223.0,0.0,12.0,3.0,1673.0,0.04,0.7
Mullite,,TBA,Ceramic,polyurethane,citric acid,0.01,,,,0.0,0.0,1.0,873.0,0.3488,0.68
Bioglass,,water,Ceramic,PVC,Easysperse,0.005,PVA,0.01,253.0,0.0,,,773.0,0.15,0.55
YSZ,,TBA,Ceramic,,citric acid,0.02,,,,0.0,12.0,1.0,873.0,0.06,0.43
ZrB2,SiC,water,Ceramic,"plastic, noi",Duramax,0.058,,,233.0,0.0,0.0,0.5,723.0,0.76,0.482
Al2O3,ZrO2,TBA,Ceramic,epoxy,citric acid,0.01,PVB,,77.0,0.0,,,1773.0,0.15,0.5
HAP,,water,Ceramic/Polymer,,Darvan C,0.01,PVA,0.01,263.0,0.0,,2.0,1773.0,0.2,0.56
HAP,(Ca10(PO4)6(OH)2),TBA,Ceramic,polyurethane,citric acid,0.01,,,,0.0,0.0,1.0,963.0,0.1,0.72
chitosan,HAP,water,Polymer,,acetic acid,,,,,0.0,0.0,,,0.09,0.458
SiO2,Al2O3,water,Ceramic,aluminum,CTAB,,ovalbumin,,,0.0,,1.0,873.0,0.38,0.85
Mullite,,TBA,Ceramic,polyurethane,citric acid,0.01,,,,0.0,0.0,1.0,873.0,0.3488,0.72
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.78
PZT,,TBA,Ceramic,polyamide,acacia,0.012,PVB,0.015,,0.0,0.0,2.0,1723.0,0.25,0.58
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.55,0.14
WO3,,water,Metal,Teflon,,,,,258.0,0.0,,,1023.0,0.3,0.328
YSZ,,TBA,Ceramic,,,,PVB,0.005,243.0,,,1.0,1723.0,0.15,0.77
ZrB2,,water,Ceramic,"plastic, noi",Dolapix,0.04,,,233.0,0.0,0.0,0.5,723.0,0.11,0.489
PZT,,TBA,Ceramic,,acacia,0.012,PVB,0.015,243.0,0.0,48.0,2.0,1723.0,0.2,0.62
chitosan,TCP,water,Ceramic/Polymer,"plastic, noi",acetic acid,,,,253.0,0.0,6.0,,,0.1468,0.75
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,,0.0,24.0,,1673.0,0.45,0.4
HAP,,TBA,Ceramic,polyurethane,citric acid,0.01,,,,0.0,0.0,1.0,963.0,0.1,0.75
Si3N4,Y2O3,water,Ceramic,graphite,ammonium polymethacrylate anionic dispersant,0.003,,,203.0,0.0,48.0,2.0,873.0,0.2,0.66
Si3N4,Y2O3,water,Ceramic,fluorocarbon,Alon A-6114,,,,193.0,0.0,24.0,,2123.0,0.3,0.493
SiO2,,water,Ceramic,"plastic, noi",,,,,193.0,0.0,12.0,2.0,1523.0,0.05,0.94
HAP,,camphene,Ceramic,graphite,Hypermer KD 4,0.03,,,,0.0,0.0,3.0,1573.0,0.3,0.48
gelatin,,water,Polymer,polytetrafluoroethylene,,,,,,6.0,72.0,,,0.0038,0.948
HAP,,camphene,Ceramic,graphite,Hypermer KD 4,0.03,,,,0.0,0.0,3.0,1573.0,0.36,0.38
